,message,label
801250,Me after depression-napping for 5 days straight  https://twitter.com/kanyewest/status/989153701095915522Â â¦,1
801251,"Depression meal: roughly 8 servings of cold peas, an apple, and 3 chocolate/butterscotch chip cookies",1
801252,"I hate feeling like I'm sinking. Depression sucks, especially when you have 6 million things piled on top of you <Emoji: Pensive face>",1
801253,I love how you say you suffer depression when you probably live in a house and have food every day and electricity. Just get ov... â I see this argument popping up a lot when it comes to depression so I have something to say: depr...  https://curiouscat.me/cutiepienestor/post/429598999?1524670430Â â¦,1
801254,when u can detect the wave of depression coming as u notice ur on the last few episodes of ur netflix show,1
801255,"gumawa ako ng tula, came up with the topics about love, government, family, education and depression. so random",1
801256,But I know depression and drug addiction don't blend - @JColeNC,1
801257,"@GriziBear EXACTLY! Alcohol is so easy to obtain and takes very little time to do serious damage, whether immediate (drunk driving, alcohol poisoning) or long term (alcoholism). Marijuana helps w/ anxiety, depression, nausea, pain, seizures, etc. This world is so backwards.",1
801258,"@shedboy23 Intimidating letters, I suffer from anxiety and depression, can't be arsed with the hassle",1
801259,"Having negative friends is linked to depression, lowered self esteem, insomnia and anxiety. Positive friends promote good overall health.",1
801260,#Mentalhealth is a serious issue. The 7th Papa Lemon Book addresses Abe Lincoln's battle with #depression Not may children's books tackle this subject matter #Educate pic.twitter.com/KPaG2R87JT,1
801261,"It's amazing how i literally can't control having depression and anxiety yet I get in trouble when no one covers me, sorry not trying to teach when I'm panicking",1
801262,What to Do if a Minor Illness Worsens Depression Symptoms  https://buff.ly/2vmwPjKÂ ,1
801263,"@RachelRileyRR @Hobojebus None of that was done by socialist economics though... but...Did the dust bowl never happen? Did I imagine the Great Depression? The United States never slaughtered the Native Americans and Filipinos, or the British with their starvation of Indians?",1
801264,"These are some flowers that everyone drives by and no one notices. They're everywhere, wild, weeds. But they're beautiful and worth our notice. Hello flowers. #mentalhealth #MentalIllness #depression  pic.twitter.com/MA1CvaQ4Q9",1
801265,"The Oil that has the Potential to Fight Migraines, Depression, Anxiety, & Even Cancer  http://www.healthy-holistic-living.com/oil-potential-cure-migraines-depression-anxiety-even-cancer.htmlÂ â¦",1
801266,@ the ppl on my TL that liked the tweet about how self-care will cure depression: which essential oils will stop my hallucinations & paranoid delusions?,1
801267,I call BS if anyone deserves credit its president Obama for putting the brakes on the worse recession in our history that almost lead to a depression if not for Obama & his adms getting the economy that GWB & the reps had managed to almost demolish back on its tracks. #REALNEWS,1
